,Duration,N_Packets,N_Bytes,Idle_timeout,Protocol,Source_ip,Destination_ip
0,87.955, 7, 910, 60,icmp,10.0.0.5,10.0.0.2
1,87.895, 7, 832, 60,icmp,10.0.0.3,10.0.0.5
2,87.892, 7, 832, 60,icmp,10.0.0.5,10.0.0.3
3,87.843, 7, 817, 60,icmp,10.0.0.4,10.0.0.5
4,87.842, 7, 817, 60,icmp,10.0.0.5,10.0.0.4
5,87.784, 7, 872, 60,icmp,10.0.0.5,10.0.0.5
6,87.732, 7, 995, 60,icmp,10.0.0.6,10.0.0.5
7,87.73, 7, 995, 60,icmp,10.0.0.5,10.0.0.6
8,87.678, 7, 831, 60,icmp,10.0.0.7,10.0.0.5
9,87.675, 7, 831, 60,icmp,10.0.0.5,10.0.0.7
10,87.614, 7, 842, 60,icmp,10.0.0.8,10.0.0.5
11,87.612, 7, 842, 60,icmp,10.0.0.5,10.0.0.8
12,87.559, 7, 832, 60,icmp,10.0.0.9,10.0.0.5
13,87.557, 7, 832, 60,icmp,10.0.0.5,10.0.0.9
14,87.496, 7, 844, 60,icmp,10.0.0.10,10.0.0.5
15,87.495, 7, 844, 60,icmp,10.0.0.5,10.0.0.10
16,68.115, 6, 791, 60,icmp,10.0.0.11,10.0.0.5
17,67.038, 5, 563, 60,icmp,10.0.0.12,10.0.0.5
18,46.928, 4, 452, 60,icmp,10.0.0.13,10.0.0.5
19,29.691, 3, 342, 60,icmp,10.0.0.14,10.0.0.5
20,14.716, 2, 230, 60,icmp,10.0.0.15,10.0.0.5
21,6.594, 1, 102, 60,icmp,10.0.0.16,10.0.0.5
0,117.997, 9, 1091, 60,icmp,10.0.0.5,10.0.0.2
1,117.937, 9, 1075, 60,icmp,10.0.0.3,10.0.0.5
2,117.934, 9, 1075, 60,icmp,10.0.0.5,10.0.0.3
3,117.885, 9, 1112, 60,icmp,10.0.0.4,10.0.0.5
4,117.884, 9, 1112, 60,icmp,10.0.0.5,10.0.0.4
5,117.826, 9, 1167, 60,icmp,10.0.0.5,10.0.0.5
6,117.774, 9, 1284, 60,icmp,10.0.0.6,10.0.0.5
7,117.772, 9, 1284, 60,icmp,10.0.0.5,10.0.0.6
8,117.72, 9, 1060, 60,icmp,10.0.0.7,10.0.0.5
9,117.717, 9, 1060, 60,icmp,10.0.0.5,10.0.0.7
10,117.656, 9, 1052, 60,icmp,10.0.0.8,10.0.0.5
11,117.654, 9, 1052, 60,icmp,10.0.0.5,10.0.0.8
12,117.601, 9, 1096, 60,icmp,10.0.0.9,10.0.0.5
13,117.599, 9, 1096, 60,icmp,10.0.0.5,10.0.0.9
14,117.538, 9, 1140, 60,icmp,10.0.0.10,10.0.0.5
15,117.537, 9, 1140, 60,icmp,10.0.0.5,10.0.0.10
16,98.157, 8, 1003, 60,icmp,10.0.0.11,10.0.0.5
17,97.08, 7, 796, 60,icmp,10.0.0.12,10.0.0.5
18,76.97, 6, 700, 60,icmp,10.0.0.13,10.0.0.5
19,59.733, 5, 605, 60,icmp,10.0.0.14,10.0.0.5
20,44.758, 4, 427, 60,icmp,10.0.0.15,10.0.0.5
21,36.636, 3, 380, 60,icmp,10.0.0.16,10.0.0.5
22,23.25, 2, 268, 60,icmp,10.0.0.17,10.0.0.5
