,Duration,N_Packets,N_Bytes,Idle_timeout,Protocol,Source_ip,Destination_ip
0,71.741,5,300, 60,tcp,10.0.1.2,10.0.1.3
1,71.706,2,120, 60,icmp,10.0.1.13,10.0.1.3
2,71.632,4,240, 60,icmp,10.0.1.7,10.0.1.3
3,71.617,4,240, 60,icmp,10.0.1.14,10.0.1.3
4,71.617,3,180, 60,icmp,10.0.1.15,10.0.1.3
5,71.606,4,240, 60,icmp,10.0.1.6,10.0.1.3
6,71.475,4,240, 60,icmp,10.0.1.18,10.0.1.3
7,71.458,9,550, 60,tcp,10.0.1.19,10.0.1.3
8,71.365,9,540, 60,tcp,10.0.1.7,10.0.1.3
9,71.209,2,120, 60,tcp,10.0.1.1,10.0.1.3
10,71.165,5,350, 60,tcp,10.0.1.15,10.0.1.3
11,71.15,4,280, 60,tcp,10.0.1.9,10.0.1.3
12,71.058,2,120, 60,icmp,10.0.1.4,10.0.1.3
13,71.056,4,240, 60,icmp,10.0.1.5,10.0.1.3
14,71.05,2,120, 60,icmp,10.0.1.8,10.0.1.3
15,71.05,2,120, 60,icmp,10.0.1.9,10.0.1.3
16,71.046,4,240, 60,icmp,10.0.1.11,10.0.1.3
17,71.044,5,300, 60,icmp,10.0.1.12,10.0.1.3
18,71.043,6,360, 60,icmp,10.0.1.13,10.0.1.3
19,71.038,3,180, 60,icmp,10.0.1.14,10.0.1.3
20,71.038,2,120, 60,icmp,10.0.1.15,10.0.1.3
21,71.033,6,360, 60,icmp,10.0.1.18,10.0.1.3
22,70.954,4,240, 60,icmp,10.0.1.6,10.0.1.3
23,70.953,3,180, 60,icmp,10.0.1.7,10.0.1.3
24,70.894,2,150, 60,tcp,10.0.1.16,10.0.1.3
25,70.89,2,156, 60,tcp,10.0.1.4,10.0.1.3
26,70.8,4,240, 60,icmp,10.0.1.16,10.0.1.3
27,70.795,2,120, 60,icmp,10.0.1.19,10.0.1.3
28,70.778,10,610, 60,tcp,10.0.1.14,10.0.1.3
29,70.662,2,120, 60,icmp,10.0.1.13,10.0.1.3
30,70.616,2,120, 60,tcp,10.0.1.5,10.0.1.3
31,70.538,2,120, 60,tcp,10.0.1.16,10.0.1.3
32,70.416,3,180, 60,icmp,10.0.1.19,10.0.1.3
33,70.296,2,120, 60,icmp,10.0.1.5,10.0.1.3
34,70.293,4,240, 60,icmp,10.0.1.6,10.0.1.3
35,70.154,7,440, 60,tcp,10.0.1.1,10.0.1.3
36,70.019,4,240, 60,icmp,10.0.1.6,10.0.1.3
37,70.013,6,360, 60,icmp,10.0.1.8,10.0.1.3
38,70.011,3,180, 60,icmp,10.0.1.10,10.0.1.3
39,70.008,4,240, 60,icmp,10.0.1.11,10.0.1.3
40,70.006,2,120, 60,icmp,10.0.1.12,10.0.1.3
41,70.004,2,120, 60,icmp,10.0.1.14,10.0.1.3
42,69.696,2,120, 60,tcp,10.0.1.14,10.0.1.3
43,69.617,4,240, 60,icmp,10.0.1.14,10.0.1.3
44,69.403,3,240, 60,tcp,10.0.1.13,10.0.1.3
45,69.35,2,120, 60,icmp,10.0.1.11,10.0.1.3
46,69.231,6,360, 60,tcp,10.0.1.12,10.0.1.3
47,69.198,3,180, 60,icmp,10.0.1.13,10.0.1.3
48,69.189,2,120, 60,icmp,10.0.1.18,10.0.1.3
49,69.188,2,120, 60,icmp,10.0.1.19,10.0.1.3
50,69.184,2,120, 60,icmp,10.0.1.2,10.0.1.3
51,69.183,2,120, 60,icmp,10.0.1.4,10.0.1.3
52,69.181,2,120, 60,icmp,10.0.1.5,10.0.1.3
53,69.18,3,180, 60,icmp,10.0.1.6,10.0.1.3
54,69.175,3,180, 60,icmp,10.0.1.9,10.0.1.3
55,69.041,2,120, 60,icmp,10.0.1.15,10.0.1.3
56,69.032,2,120, 60,icmp,10.0.1.16,10.0.1.3
57,68.921,2,120, 60,tcp,10.0.1.9,10.0.1.3
58,68.918,6,360, 60,tcp,10.0.1.10,10.0.1.3
59,68.897,2,120, 60,tcp,10.0.1.16,10.0.1.3
60,68.888,2,120, 60,tcp,10.0.1.6,10.0.1.3
61,68.834,3,180, 60,icmp,10.0.1.6,10.0.1.3
62,68.831,3,180, 60,icmp,10.0.1.8,10.0.1.3
63,68.814,3,210, 60,tcp,10.0.1.7,10.0.1.3
64,68.803,3,226, 60,tcp,10.0.1.18,10.0.1.3
65,68.784,2,120, 60,icmp,10.0.1.2,10.0.1.3
66,68.686,3,180, 60,icmp,10.0.1.6,10.0.1.3
67,68.681,4,240, 60,icmp,10.0.1.7,10.0.1.3
68,68.68,4,250, 60,tcp,10.0.1.8,10.0.1.3
69,68.665,3,180, 60,icmp,10.0.1.5,10.0.1.3
70,68.646,3,180, 60,icmp,10.0.1.19,10.0.1.3
71,68.644,2,120, 60,icmp,10.0.1.1,10.0.1.3
72,68.637,7,420, 60,tcp,10.0.1.13,10.0.1.3
73,68.562,3,235, 60,tcp,10.0.1.10,10.0.1.3
74,68.534,2,120, 60,icmp,10.0.1.11,10.0.1.3
75,68.529,2,120, 60,icmp,10.0.1.15,10.0.1.3
76,68.456,2,156, 60,tcp,10.0.1.7,10.0.1.3
77,68.428,3,180, 60,icmp,10.0.1.4,10.0.1.3
78,68.413,4,240, 60,icmp,10.0.1.16,10.0.1.3
79,68.413,2,120, 60,icmp,10.0.1.17,10.0.1.3
80,68.303,2,120, 60,tcp,10.0.1.6,10.0.1.3
81,68.241,5,300, 60,tcp,10.0.1.11,10.0.1.3
82,68.142,3,216, 60,tcp,10.0.1.16,10.0.1.3
83,68.043,3,180, 60,icmp,10.0.1.17,10.0.1.3
84,68.011,3,180, 60,icmp,10.0.1.18,10.0.1.3
85,68.011,3,180, 60,icmp,10.0.1.19,10.0.1.3
86,68.01,4,240, 60,icmp,10.0.1.1,10.0.1.3
87,68.01,3,180, 60,icmp,10.0.1.2,10.0.1.3
88,68.008,4,240, 60,icmp,10.0.1.4,10.0.1.3
89,68.008,3,180, 60,icmp,10.0.1.5,10.0.1.3
90,68.006,3,180, 60,icmp,10.0.1.9,10.0.1.3
91,67.965,6,396, 60,tcp,10.0.1.13,10.0.1.3
92,67.964,6,360, 60,tcp,10.0.1.14,10.0.1.3
93,67.963,5,300, 60,tcp,10.0.1.15,10.0.1.3
94,67.947,4,240, 60,tcp,10.0.1.19,10.0.1.3
95,67.944,6,360, 60,tcp,10.0.1.4,10.0.1.3
96,67.942,5,300, 60,tcp,10.0.1.6,10.0.1.3
97,67.941,4,240, 60,tcp,10.0.1.8,10.0.1.3
98,67.94,6,360, 60,tcp,10.0.1.9,10.0.1.3
99,67.939,5,300, 60,tcp,10.0.1.10,10.0.1.3
100,67.917,4,240, 60,tcp,10.0.1.12,10.0.1.3
101,67.872,2,120, 60,icmp,10.0.1.16,10.0.1.3
102,67.871,2,120, 60,icmp,10.0.1.17,10.0.1.3
103,67.818,8,490, 60,tcp,10.0.1.5,10.0.1.3
104,67.764,2,160, 60,tcp,10.0.1.2,10.0.1.3
105,67.725,6,370, 60,tcp,10.0.1.4,10.0.1.3
106,67.566,3,180, 60,icmp,10.0.1.19,10.0.1.3
107,67.379,11,987, 60,tcp,10.0.1.4,10.0.1.3
108,67.367,3,180, 60,tcp,10.0.1.6,10.0.1.3
109,67.282,2,120, 60,tcp,10.0.1.5,10.0.1.3
110,67.277,2,152, 60,tcp,10.0.1.10,10.0.1.3
111,67.143,3,216, 60,tcp,10.0.1.11,10.0.1.3
112,66.945,3,200, 60,tcp,10.0.1.13,10.0.1.3
113,66.924,3,180, 60,icmp,10.0.1.5,10.0.1.3
114,66.793,3,180, 60,icmp,10.0.1.18,10.0.1.3
115,66.781,2,120, 60,icmp,10.0.1.5,10.0.1.3
116,66.778,3,180, 60,icmp,10.0.1.10,10.0.1.3
117,66.613,2,120, 60,tcp,10.0.1.12,10.0.1.3
118,66.613,2,120, 60,tcp,10.0.1.13,10.0.1.3
119,66.522,2,120, 60,icmp,10.0.1.2,10.0.1.3
120,66.447,2,156, 60,tcp,10.0.1.16,10.0.1.3
121,66.184,2,120, 60,icmp,10.0.1.10,10.0.1.3
122,66.131,2,156, 60,tcp,10.0.1.1,10.0.1.3
123,66.119,2,156, 60,tcp,10.0.1.1,10.0.1.3
124,66.098,3,180, 60,icmp,10.0.1.17,10.0.1.3
125,66.087,4,240, 60,icmp,10.0.1.12,10.0.1.3
126,66.086,4,240, 60,icmp,10.0.1.13,10.0.1.3
127,66.084,3,180, 60,icmp,10.0.1.15,10.0.1.3
128,66.082,4,240, 60,icmp,10.0.1.17,10.0.1.3
129,66.081,2,120, 60,icmp,10.0.1.18,10.0.1.3
130,66.08,2,120, 60,icmp,10.0.1.1,10.0.1.3
131,64.705,3,180, 60,icmp,10.0.1.10,10.0.1.3
132,64.703,2,120, 60,icmp,10.0.1.11,10.0.1.3
133,64.66,2,120, 60,icmp,10.0.1.4,10.0.1.3
134,64.623,2,120, 60,tcp,10.0.1.5,10.0.1.3
135,64.547,3,180, 60,tcp,10.0.1.8,10.0.1.3
136,64.437,2,120, 60,icmp,10.0.1.19,10.0.1.3
137,64.426,3,180, 60,icmp,10.0.1.16,10.0.1.3
138,64.422,2,120, 60,icmp,10.0.1.17,10.0.1.3
139,64.419,2,120, 60,icmp,10.0.1.4,10.0.1.3
140,64.417,5,300, 60,icmp,10.0.1.5,10.0.1.3
141,64.416,3,180, 60,icmp,10.0.1.7,10.0.1.3
142,64.415,2,120, 60,icmp,10.0.1.8,10.0.1.3
143,64.367,2,160, 60,tcp,10.0.1.17,10.0.1.3
144,64.311,4,240, 60,icmp,10.0.1.7,10.0.1.3
145,64.311,2,120, 60,icmp,10.0.1.10,10.0.1.3
146,64.309,5,300, 60,icmp,10.0.1.8,10.0.1.3
147,64.299,3,180, 60,icmp,10.0.1.2,10.0.1.3
148,64.276,2,120, 60,icmp,10.0.1.8,10.0.1.3
149,64.274,2,120, 60,icmp,10.0.1.9,10.0.1.3
