,Duration,N_Packets,N_Bytes,Idle_timeout,Protocol,Source_ip,Destination_ip
0,71.741,200,2400,60,tcp,10.0.1.2,10.0.1.3
1,71.706,80,2400,60,icmp,10.0.1.13,10.0.1.3
2,71.632,160,2400,60,icmp,10.0.1.7,10.0.1.3
3,71.617,160,2400,60,icmp,10.0.1.14,10.0.1.3
4,71.617,120,2400,60,icmp,10.0.1.15,10.0.1.3
5,71.606,160,2400,60,icmp,10.0.1.6,10.0.1.3
6,71.475,160,2400,60,icmp,10.0.1.18,10.0.1.3
7,71.458,360,2400,60,tcp,10.0.1.19,10.0.1.3
8,71.365,360,2400,60,tcp,10.0.1.7,10.0.1.3
9,71.209,80,2400,60,tcp,10.0.1.1,10.0.1.3
10,71.165,200,2400,60,tcp,10.0.1.15,10.0.1.3
11,71.15,160,2400,60,tcp,10.0.1.9,10.0.1.3
12,71.058,80,2400,60,icmp,10.0.1.4,10.0.1.3
13,71.056,160,2400,60,icmp,10.0.1.5,10.0.1.3
14,71.05,80,2400,60,icmp,10.0.1.8,10.0.1.3
15,71.05,80,2400,60,icmp,10.0.1.9,10.0.1.3
16,71.046,160,2400,60,icmp,10.0.1.11,10.0.1.3
17,71.044,200,2400,60,icmp,10.0.1.12,10.0.1.3
18,71.043,240,2400,60,icmp,10.0.1.13,10.0.1.3
19,71.038,120,2400,60,icmp,10.0.1.14,10.0.1.3
20,71.038,80,2400,60,icmp,10.0.1.15,10.0.1.3
21,71.033,240,2400,60,icmp,10.0.1.18,10.0.1.3
22,70.954,160,2400,60,icmp,10.0.1.6,10.0.1.3
23,70.953,120,2400,60,icmp,10.0.1.7,10.0.1.3
24,70.894,80,2400,60,tcp,10.0.1.16,10.0.1.3
25,70.89,80,2400,60,tcp,10.0.1.4,10.0.1.3
26,70.8,160,2400,60,icmp,10.0.1.16,10.0.1.3
27,70.795,80,2400,60,icmp,10.0.1.19,10.0.1.3
28,70.778,400,2400,60,tcp,10.0.1.14,10.0.1.3
29,70.662,80,2400,60,icmp,10.0.1.13,10.0.1.3
30,70.616,80,2400,60,tcp,10.0.1.5,10.0.1.3
31,70.538,80,2400,60,tcp,10.0.1.16,10.0.1.3
32,70.416,120,2400,60,icmp,10.0.1.19,10.0.1.3
33,70.296,80,2400,60,icmp,10.0.1.5,10.0.1.3
34,70.293,160,2400,60,icmp,10.0.1.6,10.0.1.3
35,70.154,280,2400,60,tcp,10.0.1.1,10.0.1.3
36,70.019,160,2400,60,icmp,10.0.1.6,10.0.1.3
37,70.013,240,2400,60,icmp,10.0.1.8,10.0.1.3
38,70.011,120,2400,60,icmp,10.0.1.10,10.0.1.3
39,70.008,160,2400,60,icmp,10.0.1.11,10.0.1.3
40,70.006,80,2400,60,icmp,10.0.1.12,10.0.1.3
41,70.004,80,2400,60,icmp,10.0.1.14,10.0.1.3
42,69.696,80,2400,60,tcp,10.0.1.14,10.0.1.3
43,69.617,160,2400,60,icmp,10.0.1.14,10.0.1.3
44,69.403,120,2400,60,tcp,10.0.1.13,10.0.1.3
45,69.35,80,2400,60,icmp,10.0.1.11,10.0.1.3
46,69.231,240,2400,60,tcp,10.0.1.12,10.0.1.3
47,69.198,120,2400,60,icmp,10.0.1.13,10.0.1.3
48,69.189,80,2400,60,icmp,10.0.1.18,10.0.1.3
49,69.188,80,2400,60,icmp,10.0.1.19,10.0.1.3
50,69.184,80,2400,60,icmp,10.0.1.2,10.0.1.3
51,69.183,80,2400,60,icmp,10.0.1.4,10.0.1.3
52,69.181,80,2400,60,icmp,10.0.1.5,10.0.1.3
53,69.18,120,2400,60,icmp,10.0.1.6,10.0.1.3
54,69.175,120,2400,60,icmp,10.0.1.9,10.0.1.3
55,69.041,80,2400,60,icmp,10.0.1.15,10.0.1.3
56,69.032,80,2400,60,icmp,10.0.1.16,10.0.1.3
57,68.921,80,2400,60,tcp,10.0.1.9,10.0.1.3
58,68.918,240,2400,60,tcp,10.0.1.10,10.0.1.3
59,68.897,80,2400,60,tcp,10.0.1.16,10.0.1.3
60,68.888,80,2400,60,tcp,10.0.1.6,10.0.1.3
61,68.834,120,2400,60,icmp,10.0.1.6,10.0.1.3
62,68.831,120,2400,60,icmp,10.0.1.8,10.0.1.3
63,68.814,120,2400,60,tcp,10.0.1.7,10.0.1.3
64,68.803,120,2400,60,tcp,10.0.1.18,10.0.1.3
65,68.784,80,2400,60,icmp,10.0.1.2,10.0.1.3
66,68.686,120,2400,60,icmp,10.0.1.6,10.0.1.3
67,68.681,160,2400,60,icmp,10.0.1.7,10.0.1.3
68,68.68,160,2400,60,tcp,10.0.1.8,10.0.1.3
69,68.665,120,2400,60,icmp,10.0.1.5,10.0.1.3
70,68.646,120,2400,60,icmp,10.0.1.19,10.0.1.3
71,68.644,80,2400,60,icmp,10.0.1.1,10.0.1.3
72,68.637,280,2400,60,tcp,10.0.1.13,10.0.1.3
73,68.562,120,2400,60,tcp,10.0.1.10,10.0.1.3
74,68.534,80,2400,60,icmp,10.0.1.11,10.0.1.3
75,68.529,80,2400,60,icmp,10.0.1.15,10.0.1.3
76,68.456,80,2400,60,tcp,10.0.1.7,10.0.1.3
77,68.428,120,2400,60,icmp,10.0.1.4,10.0.1.3
78,68.413,160,2400,60,icmp,10.0.1.16,10.0.1.3
79,68.413,80,2400,60,icmp,10.0.1.17,10.0.1.3
80,68.303,80,2400,60,tcp,10.0.1.6,10.0.1.3
81,68.241,200,2400,60,tcp,10.0.1.11,10.0.1.3
82,68.142,120,2400,60,tcp,10.0.1.16,10.0.1.3
83,68.043,120,2400,60,icmp,10.0.1.17,10.0.1.3
84,68.011,120,2400,60,icmp,10.0.1.18,10.0.1.3
85,68.011,120,2400,60,icmp,10.0.1.19,10.0.1.3
86,68.01,160,2400,60,icmp,10.0.1.1,10.0.1.3
87,68.01,120,2400,60,icmp,10.0.1.2,10.0.1.3
88,68.008,160,2400,60,icmp,10.0.1.4,10.0.1.3
89,68.008,120,2400,60,icmp,10.0.1.5,10.0.1.3
90,68.006,120,2400,60,icmp,10.0.1.9,10.0.1.3
91,67.965,240,2400,60,tcp,10.0.1.13,10.0.1.3
92,67.964,240,2400,60,tcp,10.0.1.14,10.0.1.3
93,67.963,200,2400,60,tcp,10.0.1.15,10.0.1.3
94,67.947,160,2400,60,tcp,10.0.1.19,10.0.1.3
95,67.944,240,2400,60,tcp,10.0.1.4,10.0.1.3
