,Duration,N_Packets,N_Bytes,Idle_timeout,Protocol,Source_ip,Destination_ip
0,0.7,200,12000,60,tcp,10.0.1.2,10.0.1.3
1,0.9,80,4800,60,icmp,10.0.1.13,10.0.1.3
2,1,160,9600,60,icmp,10.0.1.7,10.0.1.3
3,1.5,160,9600,60,icmp,10.0.1.14,10.0.1.3
4,2,120,7200,60,icmp,10.0.1.15,10.0.1.3
5,3,160,9600,60,icmp,10.0.1.6,10.0.1.3
6,4,160,9600,60,icmp,10.0.1.18,10.0.1.3
7,5,360,22000,60,tcp,10.0.1.19,10.0.1.3
8,6,360,21600,60,tcp,10.0.1.7,10.0.1.3
9,7,80,4800,60,tcp,10.0.1.1,10.0.1.3
10,8,200,14000,60,tcp,10.0.1.15,10.0.1.3
11,9,160,11200,60,tcp,10.0.1.9,10.0.1.3
12,10,80,4800,60,icmp,10.0.1.4,10.0.1.3
13,11,160,9600,60,icmp,10.0.1.5,10.0.1.3
14,12,80,4800,60,icmp,10.0.1.8,10.0.1.3
15,13,80,4800,60,icmp,10.0.1.9,10.0.1.3
16,15,160,9600,60,icmp,10.0.1.11,10.0.1.3
17,15.2,200,12000,60,icmp,10.0.1.12,10.0.1.3
18,11.2,240,14400,60,icmp,10.0.1.13,10.0.1.3
19,15.2,120,7200,60,icmp,10.0.1.14,10.0.1.3
20,16,80,4800,60,icmp,10.0.1.15,10.0.1.3
21,0.17,240,14400,60,icmp,10.0.1.18,10.0.1.3
22,18,160,9600,60,icmp,10.0.1.6,10.0.1.3
23,19,120,7200,60,icmp,10.0.1.7,10.0.1.3
24,20,80,6000,60,tcp,10.0.1.16,10.0.1.3
25,11,80,6240,60,tcp,10.0.1.4,10.0.1.3
26,12,160,9600,60,icmp,10.0.1.16,10.0.1.3
27,13,80,4800,60,icmp,10.0.1.19,10.0.1.3
28,15,400,24400,60,tcp,10.0.1.14,10.0.1.3
29,14,80,4800,60,icmp,10.0.1.13,10.0.1.3
30,16,80,4800,60,tcp,10.0.1.5,10.0.1.3
31,17,80,4800,60,tcp,10.0.1.16,10.0.1.3
32,12,120,7200,60,icmp,10.0.1.19,10.0.1.3
33,15,80,4800,60,icmp,10.0.1.5,10.0.1.3
34,8,160,9600,60,icmp,10.0.1.6,10.0.1.3
35,19,280,17600,60,tcp,10.0.1.1,10.0.1.3
36,15,160,9600,60,icmp,10.0.1.6,10.0.1.3
37,14,240,14400,60,icmp,10.0.1.8,10.0.1.3
38,16,120,7200,60,icmp,10.0.1.10,10.0.1.3
39,15,160,9600,60,icmp,10.0.1.11,10.0.1.3
40,16,80,4800,60,icmp,10.0.1.12,10.0.1.3
41,15,80,4800,60,icmp,10.0.1.14,10.0.1.3
42,16,80,4800,60,tcp,10.0.1.14,10.0.1.3
43,14,160,9600,60,icmp,10.0.1.14,10.0.1.3
44,18,120,9600,60,tcp,10.0.1.13,10.0.1.3
