 cookie=0x0, duration=71.788s, table=0, n_packets=6, n_bytes=370, idle_timeout=60, idle_age=50, priority=65535,tcp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:3f:fd,nw_src=10.0.1.16,nw_dst=10.0.1.3,nw_tos=0,tp_src=3237,tp_dst=80 actions=drop
 cookie=0x0, duration=71.741s, table=0, n_packets=5, n_bytes=300, idle_timeout=60, idle_age=52, priority=65535,tcp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:3f:fd,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=3237,tp_dst=80 actions=drop
 cookie=0x0, duration=71.706s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=59, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:11:43:36:c1:58,dl_dst=00:14:4f:17:13:e2,nw_src=10.0.1.13,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=71.632s, table=0, n_packets=4, n_bytes=240, idle_timeout=60, idle_age=54, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:a0:b8:47:ad:64,dl_dst=00:03:ba:a1:f7:5c,nw_src=10.0.1.7,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=71.617s, table=0, n_packets=4, n_bytes=240, idle_timeout=60, idle_age=54, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:03:ba:24:3f:6c,dl_dst=00:03:ba:a1:f7:5c,nw_src=10.0.1.14,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=71.617s, table=0, n_packets=3, n_bytes=180, idle_timeout=60, idle_age=54, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:03:ba:82:f7:ba,dl_dst=00:03:ba:a1:f7:5c,nw_src=10.0.1.15,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=71.606s, table=0, n_packets=4, n_bytes=240, idle_timeout=60, idle_age=53, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:a0:b8:18:ce:70,dl_dst=00:03:ba:a1:f7:5c,nw_src=10.0.1.6,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=71.475s, table=0, n_packets=4, n_bytes=240, idle_timeout=60, idle_age=54, priority=65535,icmp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:14:4f:1e:e8:54,nw_src=10.0.1.18,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=71.458s, table=0, n_packets=9, n_bytes=550, idle_timeout=60, idle_age=46, priority=65535,tcp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:3f:fd,nw_src=10.0.1.19,nw_dst=10.0.1.3,nw_tos=0,tp_src=3237,tp_dst=80 actions=drop
 cookie=0x0, duration=71.365s, table=0, n_packets=9, n_bytes=540, idle_timeout=60, idle_age=47, priority=65535,tcp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:3f:fd,nw_src=10.0.1.7,nw_dst=10.0.1.3,nw_tos=0,tp_src=3237,tp_dst=80 actions=drop
 cookie=0x0, duration=71.209s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=55, priority=65535,tcp,in_port=2,dl_vlan=719,dl_vlan_pcp=0,dl_src=00:1b:0c:38:f1:0e,dl_dst=00:00:0c:07:ac:00,nw_src=10.0.1.1,nw_dst=10.0.1.3,nw_tos=0,tp_src=443,tp_dst=21398 actions=drop
 cookie=0x0, duration=71.165s, table=0, n_packets=5, n_bytes=350, idle_timeout=60, idle_age=55, priority=65535,tcp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:3f:fd,nw_src=10.0.1.15,nw_dst=10.0.1.3,nw_tos=0,tp_src=57805,tp_dst=80 actions=drop
 cookie=0x0, duration=71.150s, table=0, n_packets=4, n_bytes=280, idle_timeout=60, idle_age=55, priority=65535,tcp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:3f:fd,nw_src=10.0.1.9,nw_dst=10.0.1.3,nw_tos=0,tp_src=57805,tp_dst=80 actions=drop
