,Unnamed: 0,Duration,N_Packets,N_Bytes,Idle_timeout,Protocol,Source_ip,Destination_ip,arrival_frequency
0,9,71.209,80,2400,60,tcp,10.0.1.1,10.0.1.3,0.135573446
1,35,70.154,280,2400,60,tcp,10.0.1.1,10.0.1.3,0.03873527
2,71,68.644,80,2400,60,icmp,10.0.1.1,10.0.1.3,0.07747054
3,86,68.01,160,2400,60,icmp,10.0.1.1,10.0.1.3,0.03873527
4,122,66.131,80,2400,60,tcp,10.0.1.1,10.0.1.3,0.03873527
5,123,66.119,80,2400,60,tcp,10.0.1.1,10.0.1.3,0.03873527
6,130,66.08,80,2400,60,icmp,10.0.1.1,10.0.1.3,0.03873527
7,176,62.665,80,2400,60,icmp,10.0.1.1,10.0.1.3,0.03873527
8,195,62.138,80,2400,60,tcp,10.0.1.1,10.0.1.3,0.135573446
9,196,61.916,280,2400,60,tcp,10.0.1.1,10.0.1.3,0.03873527
10,202,61.766,80,2400,60,tcp,10.0.1.1,10.0.1.3,0.03873527
11,210,61.085,80,2400,60,tcp,10.0.1.1,10.0.1.3,0.019367635
12,267,59.865,40,2400,60,udp,10.0.1.1,10.0.1.3,0.019367635
13,291,59.764,40,2400,60,udp,10.0.1.1,10.0.1.3,0.019367635
14,297,59.738,40,2400,60,tcp,10.0.1.1,10.0.1.3,0.019367635
15,308,59.715,40,2400,60,tcp,10.0.1.1,10.0.1.3,0.019367635
16,414,59.077,40,2400,60,tcp,10.0.1.1,10.0.1.3,0.019367635
17,420,59.018,40,2400,60,tcp,10.0.1.1,10.0.1.3,0.058102905
18,435,58.833,120,2400,60,udp,10.0.1.1,10.0.1.3,0.019367635
19,454,58.756,40,2400,60,tcp,10.0.1.1,10.0.1.3,0.03873527
20,485,58.546,80,2400,60,tcp,10.0.1.1,10.0.1.3,0.019367635
21,497,58.449,40,2400,60,tcp,10.0.1.1,10.0.1.3,0.019367635
22,550,58.276,40,2400,60,tcp,10.0.1.1,10.0.1.3,0.019367635
23,576,58.134,40,2400,60,udp,10.0.1.1,10.0.1.3,0.019367635
24,583,58.103,40,2400,60,icmp,10.0.1.1,10.0.1.3,0.019367635
25,620,57.993,40,2400,60,tcp,10.0.1.1,10.0.1.3,0.019367635
26,626,57.968,40,2400,60,tcp,10.0.1.1,10.0.1.3,0.019367635
27,643,57.915,40,2400,60,tcp,10.0.1.1,10.0.1.3,0.019367635
28,655,57.865,40,2400,60,udp,10.0.1.1,10.0.1.3,0.03873527
29,662,57.838,80,2400,60,tcp,10.0.1.1,10.0.1.3,0.019367635
30,670,57.815,40,2400,60,tcp,10.0.1.1,10.0.1.3,0.019367635
31,686,57.787,40,2400,60,tcp,10.0.1.1,10.0.1.3,0.019367635
32,701,57.762,40,2400,60,tcp,10.0.1.1,10.0.1.3,0.07747054
33,709,57.733,160,2400,60,tcp,10.0.1.1,10.0.1.3,0.019367635
34,744,57.561,40,2400,60,tcp,10.0.1.1,10.0.1.3,0.019367635
35,754,57.514,40,2400,60,udp,10.0.1.1,10.0.1.3,0.019367635
36,767,57.455,40,2400,60,udp,10.0.1.1,10.0.1.3,0.058102905
37,780,57.4,120,2400,60,udp,10.0.1.1,10.0.1.3,0.058102905
38,791,57.372,120,2400,60,udp,10.0.1.1,10.0.1.3,0.03873527
39,833,57.247,80,2400,60,tcp,10.0.1.1,10.0.1.3,0.019367635
40,843,57.185,40,2400,60,tcp,10.0.1.1,10.0.1.3,0.03873527
41,855,57.073,80,2400,60,tcp,10.0.1.1,10.0.1.3,0.019367635
42,867,57.053,40,2400,60,udp,10.0.1.1,10.0.1.3,0.019367635
43,910,56.789,40,2480,60,tcp,10.0.1.1,10.0.1.3,0.03873527
44,919,56.737,80,2480,60,icmp,10.0.1.1,10.0.1.3,0.019367635
45,931,56.696,40,2640,60,tcp,10.0.1.1,10.0.1.3,0.03873527
46,946,56.523,80,2640,60,udp,10.0.1.1,10.0.1.3,0.019367635
47,967,56.452,40,2640,60,udp,10.0.1.1,10.0.1.3,0.019367635
48,977,56.43,40,2640,60,tcp,10.0.1.1,10.0.1.3,0.03873527
49,981,56.408,80,2640,60,tcp,10.0.1.1,10.0.1.3,0.135573446
50,987,56.365,280,2640,60,udp,10.0.1.1,10.0.1.3,0.019367635
51,996,56.346,40,2640,60,udp,10.0.1.1,10.0.1.3,0.019367635
52,1010,56.304,40,2640,60,tcp,10.0.1.1,10.0.1.3,0.03873527
53,1036,56.188,80,2640,60,udp,10.0.1.1,10.0.1.3,0.019367635
54,1062,56.099,40,2800,60,tcp,10.0.1.1,10.0.1.3,0.019367635
55,1071,56.044,40,2800,60,tcp,10.0.1.1,10.0.1.3,0.019367635
56,1084,55.984,40,2800,60,tcp,10.0.1.1,10.0.1.3,0.019367635
57,1101,55.893,40,2800,60,tcp,10.0.1.1,10.0.1.3,0.019367635
58,1105,55.869,40,2800,60,tcp,10.0.1.1,10.0.1.3,0.019367635
59,1114,55.844,40,2800,60,tcp,10.0.1.1,10.0.1.3,0.019367635
60,1122,55.822,40,2800,60,udp,10.0.1.1,10.0.1.3,0.019367635
61,1147,55.685,40,2920,60,tcp,10.0.1.1,10.0.1.3,0.116205811
62,1160,55.62,240,3120,60,tcp,10.0.1.1,10.0.1.3,0.019367635
63,1199,55.465,40,3280,60,tcp,10.0.1.1,10.0.1.3,0.019367635
64,1211,55.436,40,3400,60,tcp,10.0.1.1,10.0.1.3,0.019367635
65,1267,55.218,40,3560,60,tcp,10.0.1.1,10.0.1.3,0.019367635
66,1286,55.17,40,3600,60,udp,10.0.1.1,10.0.1.3,0.116205811
67,1295,55.144,240,3640,60,udp,10.0.1.1,10.0.1.3,0.019367635
68,1312,55.116,40,3760,60,tcp,10.0.1.1,10.0.1.3,0.019367635
69,1317,55.087,40,3840,60,udp,10.0.1.1,10.0.1.3,0.019367635
70,1336,55.001,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.058102905
71,1343,54.972,120,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
72,1365,54.918,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
73,1370,54.876,40,3840,60,icmp,10.0.1.1,10.0.1.3,0.019367635
74,1379,54.832,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
75,1382,54.803,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.03873527
76,1398,54.776,80,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
77,1424,54.679,40,3840,60,udp,10.0.1.1,10.0.1.3,0.019367635
78,1432,54.657,40,3840,60,icmp,10.0.1.1,10.0.1.3,0.019367635
79,1502,54.376,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
80,1537,54.295,40,3840,60,udp,10.0.1.1,10.0.1.3,0.019367635
81,1559,54.224,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
82,1569,54.189,40,3840,60,udp,10.0.1.1,10.0.1.3,0.058102905
83,1582,54.149,120,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
84,1589,54.125,40,3840,60,udp,10.0.1.1,10.0.1.3,0.019367635
85,1601,54.101,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
86,1608,54.078,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
87,1620,54.027,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
88,1625,53.992,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.058102905
89,1627,53.969,120,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
90,1671,53.779,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
91,1692,53.676,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
92,1731,53.557,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.03873527
93,1740,53.533,80,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
94,1786,53.341,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
95,1799,53.291,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
96,1828,53.179,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
97,1840,53.159,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
98,1865,52.983,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
99,1914,52.737,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
100,1931,52.641,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
101,1953,52.55,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
102,1978,52.46,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.03873527
103,1984,52.438,80,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
104,1992,52.413,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
105,2010,52.356,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
106,2023,52.324,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
107,2036,52.298,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
108,2049,52.247,40,3840,60,icmp,10.0.1.1,10.0.1.3,0.03873527
109,2068,52.152,80,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
110,2079,52.125,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
111,2102,52.019,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
112,2110,51.997,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
113,2128,51.939,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.03873527
114,2138,51.917,80,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
115,2152,51.884,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.058102905
116,2163,51.865,120,3840,60,tcp,10.0.1.1,10.0.1.3,0.096838175
117,2180,51.82,200,3840,60,udp,10.0.1.1,10.0.1.3,0.058102905
118,2225,51.71,120,3840,60,udp,10.0.1.1,10.0.1.3,0.07747054
119,2234,51.685,160,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
120,2259,51.519,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
121,2269,51.482,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
122,2276,51.449,40,3840,60,icmp,10.0.1.1,10.0.1.3,0.019367635
123,2284,51.408,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
124,2297,51.345,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
125,2335,51.169,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
126,2344,51.094,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.03873527
127,2360,51.035,80,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
128,2388,50.905,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.096838175
129,2405,50.831,200,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
130,2418,50.799,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
131,2429,50.76,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.03873527
132,2444,50.696,80,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
133,2456,50.648,40,3840,60,udp,10.0.1.1,10.0.1.3,0.019367635
134,2483,50.549,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
135,2500,50.508,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
136,2511,50.47,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
137,2521,50.436,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
138,2531,50.399,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.07747054
139,2542,50.36,160,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
140,2575,50.245,40,3840,60,udp,10.0.1.1,10.0.1.3,0.019367635
141,2588,50.214,40,3840,60,udp,10.0.1.1,10.0.1.3,0.019367635
142,2601,50.178,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
143,2617,50.115,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
144,2633,50.069,40,3840,60,tcp,10.0.1.1,10.0.1.3,0.019367635
145,2652,49.982,40,4800,60,tcp,10.0.1.1,10.0.1.3,0.019367635
