 cookie=0x0, duration=103.437s, table=0, n_packets=3, n_bytes=126, idle_timeout=60, idle_age=18, priority=65535,arp,in_port=3,vlan_tci=0x0000,dl_src=66:b8:d5:08:ee:b0,dl_dst=ee:13:d0:af:e6:04,arp_spa=10.0.0.3,arp_tpa=10.0.0.1,arp_op=1 actions=output:1
 cookie=0x0, duration=103.437s, table=0, n_packets=3, n_bytes=126, idle_timeout=60, idle_age=1, priority=65535,arp,in_port=2,vlan_tci=0x0000,dl_src=0e:cc:1c:48:f6:76,dl_dst=ee:13:d0:af:e6:04,arp_spa=10.0.0.2,arp_tpa=10.0.0.1,arp_op=1 actions=output:1
 cookie=0x0, duration=103.436s, table=0, n_packets=3, n_bytes=126, idle_timeout=60, idle_age=18, priority=65535,arp,in_port=1,vlan_tci=0x0000,dl_src=ee:13:d0:af:e6:04,dl_dst=66:b8:d5:08:ee:b0,arp_spa=10.0.0.1,arp_tpa=10.0.0.3,arp_op=2 actions=output:3
 cookie=0x0, duration=103.436s, table=0, n_packets=3, n_bytes=126, idle_timeout=60, idle_age=1, priority=65535,arp,in_port=1,vlan_tci=0x0000,dl_src=ee:13:d0:af:e6:04,dl_dst=0e:cc:1c:48:f6:76,arp_spa=10.0.0.1,arp_tpa=10.0.0.2,arp_op=2 actions=output:2
 cookie=0x0, duration=103.181s, table=0, n_packets=3, n_bytes=126, idle_timeout=60, idle_age=9, priority=65535,arp,in_port=6,vlan_tci=0x0000,dl_src=a2:29:a3:12:d2:47,dl_dst=ee:13:d0:af:e6:04,arp_spa=10.0.0.6,arp_tpa=10.0.0.1,arp_op=1 actions=output:1
 cookie=0x0, duration=103.181s, table=0, n_packets=3, n_bytes=126, idle_timeout=60, idle_age=18, priority=65535,arp,in_port=5,vlan_tci=0x0000,dl_src=06:fc:ca:e8:78:4c,dl_dst=ee:13:d0:af:e6:04,arp_spa=10.0.0.5,arp_tpa=10.0.0.1,arp_op=1 actions=output:1
 cookie=0x0, duration=103.181s, table=0, n_packets=3, n_bytes=126, idle_timeout=60, idle_age=1, priority=65535,arp,in_port=4,vlan_tci=0x0000,dl_src=22:f7:4e:74:47:50,dl_dst=ee:13:d0:af:e6:04,arp_spa=10.0.0.4,arp_tpa=10.0.0.1,arp_op=1 actions=output:1
 cookie=0x0, duration=103.180s, table=0, n_packets=3, n_bytes=126, idle_timeout=60, idle_age=9, priority=65535,arp,in_port=1,vlan_tci=0x0000,dl_src=ee:13:d0:af:e6:04,dl_dst=a2:29:a3:12:d2:47,arp_spa=10.0.0.1,arp_tpa=10.0.0.6,arp_op=2 actions=output:6
 cookie=0x0, duration=103.180s, table=0, n_packets=3, n_bytes=126, idle_timeout=60, idle_age=18, priority=65535,arp,in_port=1,vlan_tci=0x0000,dl_src=ee:13:d0:af:e6:04,dl_dst=06:fc:ca:e8:78:4c,arp_spa=10.0.0.1,arp_tpa=10.0.0.5,arp_op=2 actions=output:5
 cookie=0x0, duration=103.180s, table=0, n_packets=3, n_bytes=126, idle_timeout=60, idle_age=1, priority=65535,arp,in_port=1,vlan_tci=0x0000,dl_src=ee:13:d0:af:e6:04,dl_dst=22:f7:4e:74:47:50,arp_spa=10.0.0.1,arp_tpa=10.0.0.4,arp_op=2 actions=output:4
 cookie=0x0, duration=102.925s, table=0, n_packets=3, n_bytes=126, idle_timeout=60, idle_age=18, priority=65535,arp,in_port=9,vlan_tci=0x0000,dl_src=2a:d7:6e:d1:85:09,dl_dst=ee:13:d0:af:e6:04,arp_spa=10.0.0.9,arp_tpa=10.0.0.1,arp_op=1 actions=output:1
 cookie=0x0, duration=102.925s, table=0, n_packets=3, n_bytes=126, idle_timeout=60, idle_age=1, priority=65535,arp,in_port=8,vlan_tci=0x0000,dl_src=4e:70:ce:b8:db:62,dl_dst=ee:13:d0:af:e6:04,arp_spa=10.0.0.8,arp_tpa=10.0.0.1,arp_op=1 actions=output:1
 cookie=0x0, duration=102.925s, table=0, n_packets=3, n_bytes=126, idle_timeout=60, idle_age=18, priority=65535,arp,in_port=7,vlan_tci=0x0000,dl_src=3e:33:68:38:a4:fc,dl_dst=ee:13:d0:af:e6:04,arp_spa=10.0.0.7,arp_tpa=10.0.0.1,arp_op=1 actions=output:1
 cookie=0x0, duration=102.924s, table=0, n_packets=3, n_bytes=126, idle_timeout=60, idle_age=18, priority=65535,arp,in_port=1,vlan_tci=0x0000,dl_src=ee:13:d0:af:e6:04,dl_dst=2a:d7:6e:d1:85:09,arp_spa=10.0.0.1,arp_tpa=10.0.0.9,arp_op=2 actions=output:9
 cookie=0x0, duration=102.924s, table=0, n_packets=3, n_bytes=126, idle_timeout=60, idle_age=1, priority=65535,arp,in_port=1,vlan_tci=0x0000,dl_src=ee:13:d0:af:e6:04,dl_dst=4e:70:ce:b8:db:62,arp_spa=10.0.0.1,arp_tpa=10.0.0.8,arp_op=2 actions=output:8
 cookie=0x0, duration=102.924s, table=0, n_packets=3, n_bytes=126, idle_timeout=60, idle_age=18, priority=65535,arp,in_port=1,vlan_tci=0x0000,dl_src=ee:13:d0:af:e6:04,dl_dst=3e:33:68:38:a4:fc,arp_spa=10.0.0.1,arp_tpa=10.0.0.7,arp_op=2 actions=output:7
 cookie=0x0, duration=102.670s, table=0, n_packets=3, n_bytes=126, idle_timeout=60, idle_age=18, priority=65535,arp,in_port=10,vlan_tci=0x0000,dl_src=e2:5a:44:97:6c:0d,dl_dst=ee:13:d0:af:e6:04,arp_spa=10.0.0.10,arp_tpa=10.0.0.1,arp_op=1 actions=output:1
 cookie=0x0, duration=102.669s, table=0, n_packets=3, n_bytes=126, idle_timeout=60, idle_age=18, priority=65535,arp,in_port=1,vlan_tci=0x0000,dl_src=ee:13:d0:af:e6:04,dl_dst=e2:5a:44:97:6c:0d,arp_spa=10.0.0.1,arp_tpa=10.0.0.10,arp_op=2 actions=output:10
 cookie=0x0, duration=108.559s, table=0, n_packets=13, n_bytes=546, idle_timeout=60, idle_age=6, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=ee:13:d0:af:e6:04,dl_dst=0e:cc:1c:48:f6:76,nw_src=10.0.0.1,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=108.557s, table=0, n_packets=13, n_bytes=546, idle_timeout=60, idle_age=6, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=0e:cc:1c:48:f6:76,dl_dst=ee:13:d0:af:e6:04,nw_src=10.0.0.2,nw_dst=10.0.0.1,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=108.479s, table=0, n_packets=13, n_bytes=546, idle_timeout=60, idle_age=6, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=ee:13:d0:af:e6:04,dl_dst=66:b8:d5:08:ee:b0,nw_src=10.0.0.1,nw_dst=10.0.0.3,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:3
 cookie=0x0, duration=108.478s, table=0, n_packets=13, n_bytes=546, idle_timeout=60, idle_age=6, priority=65535,icmp,in_port=3,vlan_tci=0x0000,dl_src=66:b8:d5:08:ee:b0,dl_dst=ee:13:d0:af:e6:04,nw_src=10.0.0.3,nw_dst=10.0.0.1,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=108.396s, table=0, n_packets=13, n_bytes=546, idle_timeout=60, idle_age=6, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=ee:13:d0:af:e6:04,dl_dst=22:f7:4e:74:47:50,nw_src=10.0.0.1,nw_dst=10.0.0.4,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:4
 cookie=0x0, duration=108.395s, table=0, n_packets=13, n_bytes=546, idle_timeout=60, idle_age=6, priority=65535,icmp,in_port=4,vlan_tci=0x0000,dl_src=22:f7:4e:74:47:50,dl_dst=ee:13:d0:af:e6:04,nw_src=10.0.0.4,nw_dst=10.0.0.1,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=108.304s, table=0, n_packets=13, n_bytes=546, idle_timeout=60, idle_age=6, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=ee:13:d0:af:e6:04,dl_dst=06:fc:ca:e8:78:4c,nw_src=10.0.0.1,nw_dst=10.0.0.5,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:5
 cookie=0x0, duration=108.303s, table=0, n_packets=13, n_bytes=546, idle_timeout=60, idle_age=6, priority=65535,icmp,in_port=5,vlan_tci=0x0000,dl_src=06:fc:ca:e8:78:4c,dl_dst=ee:13:d0:af:e6:04,nw_src=10.0.0.5,nw_dst=10.0.0.1,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=108.224s, table=0, n_packets=13, n_bytes=546, idle_timeout=60, idle_age=6, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=ee:13:d0:af:e6:04,dl_dst=a2:29:a3:12:d2:47,nw_src=10.0.0.1,nw_dst=10.0.0.6,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:6
 cookie=0x0, duration=108.223s, table=0, n_packets=13, n_bytes=546, idle_timeout=60, idle_age=6, priority=65535,icmp,in_port=6,vlan_tci=0x0000,dl_src=a2:29:a3:12:d2:47,dl_dst=ee:13:d0:af:e6:04,nw_src=10.0.0.6,nw_dst=10.0.0.1,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=108.144s, table=0, n_packets=13, n_bytes=546, idle_timeout=60, idle_age=6, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=ee:13:d0:af:e6:04,dl_dst=3e:33:68:38:a4:fc,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:7
 cookie=0x0, duration=108.142s, table=0, n_packets=13, n_bytes=546, idle_timeout=60, idle_age=6, priority=65535,icmp,in_port=7,vlan_tci=0x0000,dl_src=3e:33:68:38:a4:fc,dl_dst=ee:13:d0:af:e6:04,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=108.065s, table=0, n_packets=13, n_bytes=546, idle_timeout=60, idle_age=6, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=ee:13:d0:af:e6:04,dl_dst=4e:70:ce:b8:db:62,nw_src=10.0.0.1,nw_dst=10.0.0.8,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:8
 cookie=0x0, duration=108.064s, table=0, n_packets=13, n_bytes=546, idle_timeout=60, idle_age=6, priority=65535,icmp,in_port=8,vlan_tci=0x0000,dl_src=4e:70:ce:b8:db:62,dl_dst=ee:13:d0:af:e6:04,nw_src=10.0.0.8,nw_dst=10.0.0.1,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=107.985s, table=0, n_packets=13, n_bytes=546, idle_timeout=60, idle_age=6, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=ee:13:d0:af:e6:04,dl_dst=2a:d7:6e:d1:85:09,nw_src=10.0.0.1,nw_dst=10.0.0.9,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:9
 cookie=0x0, duration=107.984s, table=0, n_packets=13, n_bytes=546, idle_timeout=60, idle_age=6, priority=65535,icmp,in_port=9,vlan_tci=0x0000,dl_src=2a:d7:6e:d1:85:09,dl_dst=ee:13:d0:af:e6:04,nw_src=10.0.0.9,nw_dst=10.0.0.1,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=107.909s, table=0, n_packets=13, n_bytes=546, idle_timeout=60, idle_age=6, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=ee:13:d0:af:e6:04,dl_dst=e2:5a:44:97:6c:0d,nw_src=10.0.0.1,nw_dst=10.0.0.10,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:10
 cookie=0x0, duration=107.908s, table=0, n_packets=13, n_bytes=546, idle_timeout=60, idle_age=6, priority=65535,icmp,in_port=10,vlan_tci=0x0000,dl_src=e2:5a:44:97:6c:0d,dl_dst=ee:13:d0:af:e6:04,nw_src=10.0.0.10,nw_dst=10.0.0.1,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
