"No.","Time","Source","Destination","Protocol","Length","Type","Code","Timestamp from icmp data","Info"
"1","0.000000000","fe80::34fd:d2ff:feef:6847","ff02::2","ICMPv6","70","","","","Router Solicitation from 36:fd:d2:ef:68:47"
"2","0.000093739","fe80::d048:5bff:fe57:23cb","ff02::2","ICMPv6","70","","","","Router Solicitation from d2:48:5b:57:23:cb"
"3","0.000124285","fe80::3c91:d2ff:fed0:1352","ff02::2","ICMPv6","70","","","","Router Solicitation from 3e:91:d2:d0:13:52"
"4","0.000151892","fe80::dc1d:34ff:fed9:cc1b","ff02::2","ICMPv6","70","","","","Router Solicitation from de:1d:34:d9:cc:1b"
"5","2.048104480","fe80::41f:58ff:fe7a:fb3e","ff02::2","ICMPv6","70","","","","Router Solicitation from 06:1f:58:7a:fb:3e"
"6","2.048437737","fe80::6449:bfff:fe72:8496","ff02::2","ICMPv6","70","","","","Router Solicitation from 66:49:bf:72:84:96"
"7","3.424575772","8a:f0:db:ac:b7:4d","Broadcast","ARP","42","","","","Who has 10.0.0.2? Tell 10.0.0.1"
"8","3.429181491","3e:91:d2:d0:13:52","8a:f0:db:ac:b7:4d","ARP","42","","","","10.0.0.2 is at 3e:91:d2:d0:13:52"
"9","3.429189866","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:10:53.000000000 PDT","Echo (ping) request  id=0x0e90, seq=1/256, ttl=64 (reply in 10)"
"10","3.430158779","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:10:53.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=1/256, ttl=64 (request in 9)"
"11","4.095090268","fe80::649c:b6ff:fe2f:e775","ff02::2","ICMPv6","70","","","","Router Solicitation from 66:9c:b6:2f:e7:75"
"12","4.095114440","fe80::88f0:dbff:feac:b74d","ff02::2","ICMPv6","70","","","","Router Solicitation from 8a:f0:db:ac:b7:4d"
"13","4.095896581","fe80::30a9:d8ff:fe7b:1c68","ff02::2","ICMPv6","70","","","","Router Solicitation from 32:a9:d8:7b:1c:68"
"14","4.426850632","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:10:54.000000000 PDT","Echo (ping) request  id=0x0e90, seq=2/512, ttl=64 (reply in 15)"
"15","4.427335342","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:10:54.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=2/512, ttl=64 (request in 14)"
"16","5.439135236","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:10:55.000000000 PDT","Echo (ping) request  id=0x0e90, seq=3/768, ttl=64 (reply in 17)"
"17","5.439183639","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:10:55.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=3/768, ttl=64 (request in 16)"
"18","6.463304813","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:10:56.000000000 PDT","Echo (ping) request  id=0x0e90, seq=4/1024, ttl=64 (reply in 19)"
"19","6.463342969","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:10:56.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=4/1024, ttl=64 (request in 18)"
"20","6.627291318","fe80::649c:b6ff:fe2f:e775","ff02::fb","MDNS","107","","","","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"21","7.487233052","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:10:57.000000000 PDT","Echo (ping) request  id=0x0e90, seq=5/1280, ttl=64 (reply in 22)"
"22","7.487265816","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:10:57.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=5/1280, ttl=64 (request in 21)"
"23","8.448334974","3e:91:d2:d0:13:52","8a:f0:db:ac:b7:4d","ARP","42","","","","Who has 10.0.0.1? Tell 10.0.0.2"
"24","8.448353627","8a:f0:db:ac:b7:4d","3e:91:d2:d0:13:52","ARP","42","","","","10.0.0.1 is at 8a:f0:db:ac:b7:4d"
"25","8.511055215","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:10:58.000000000 PDT","Echo (ping) request  id=0x0e90, seq=6/1536, ttl=64 (reply in 26)"
"26","8.511106882","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:10:58.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=6/1536, ttl=64 (request in 25)"
"27","9.535555992","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:10:59.000000000 PDT","Echo (ping) request  id=0x0e90, seq=7/1792, ttl=64 (reply in 28)"
"28","9.535595445","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:10:59.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=7/1792, ttl=64 (request in 27)"
"29","10.240320162","fe80::c84a:f6ff:fe85:b12c","ff02::2","ICMPv6","70","","","","Router Solicitation from ca:4a:f6:85:b1:2c"
"30","10.559415178","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:00.000000000 PDT","Echo (ping) request  id=0x0e90, seq=8/2048, ttl=64 (reply in 31)"
"31","10.559449252","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:00.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=8/2048, ttl=64 (request in 30)"
"32","11.583050625","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:01.000000000 PDT","Echo (ping) request  id=0x0e90, seq=9/2304, ttl=64 (reply in 33)"
"33","11.583090934","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:01.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=9/2304, ttl=64 (request in 32)"
"34","12.288019992","fe80::f842:52ff:fe0f:a44c","ff02::2","ICMPv6","70","","","","Router Solicitation from fa:42:52:0f:a4:4c"
"35","12.607633292","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:02.000000000 PDT","Echo (ping) request  id=0x0e90, seq=10/2560, ttl=64 (reply in 36)"
"36","12.607672441","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:02.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=10/2560, ttl=64 (request in 35)"
"37","13.631556235","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:03.000000000 PDT","Echo (ping) request  id=0x0e90, seq=11/2816, ttl=64 (reply in 38)"
"38","13.631603329","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:03.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=11/2816, ttl=64 (request in 37)"
"39","14.655099950","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:04.000000000 PDT","Echo (ping) request  id=0x0e90, seq=12/3072, ttl=64 (reply in 40)"
"40","14.655132920","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:04.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=12/3072, ttl=64 (request in 39)"
"41","15.679012654","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:05.000000000 PDT","Echo (ping) request  id=0x0e90, seq=13/3328, ttl=64 (reply in 42)"
"42","15.679047343","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:05.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=13/3328, ttl=64 (request in 41)"
"43","16.703521969","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:06.000000000 PDT","Echo (ping) request  id=0x0e90, seq=14/3584, ttl=64 (reply in 44)"
"44","16.703558972","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:06.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=14/3584, ttl=64 (request in 43)"
"45","17.727459047","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:07.000000000 PDT","Echo (ping) request  id=0x0e90, seq=15/3840, ttl=64 (reply in 46)"
"46","17.727495506","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:07.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=15/3840, ttl=64 (request in 45)"
"47","18.751303861","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:08.000000000 PDT","Echo (ping) request  id=0x0e90, seq=16/4096, ttl=64 (reply in 48)"
"48","18.751338439","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:08.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=16/4096, ttl=64 (request in 47)"
"49","19.775079088","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:09.000000000 PDT","Echo (ping) request  id=0x0e90, seq=17/4352, ttl=64 (reply in 50)"
"50","19.775107089","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:09.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=17/4352, ttl=64 (request in 49)"
"51","20.799455992","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:10.000000000 PDT","Echo (ping) request  id=0x0e90, seq=18/4608, ttl=64 (reply in 52)"
"52","20.799505073","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:10.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=18/4608, ttl=64 (request in 51)"
"53","21.824519101","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:11.000000000 PDT","Echo (ping) request  id=0x0e90, seq=19/4864, ttl=64 (reply in 54)"
"54","21.824570311","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:11.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=19/4864, ttl=64 (request in 53)"
"55","22.847079763","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:12.000000000 PDT","Echo (ping) request  id=0x0e90, seq=20/5120, ttl=64 (reply in 56)"
"56","22.847120320","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:12.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=20/5120, ttl=64 (request in 55)"
"57","23.871025840","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:13.000000000 PDT","Echo (ping) request  id=0x0e90, seq=21/5376, ttl=64 (reply in 58)"
"58","23.871056053","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:13.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=21/5376, ttl=64 (request in 57)"
"59","24.895304993","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:14.000000000 PDT","Echo (ping) request  id=0x0e90, seq=22/5632, ttl=64 (reply in 60)"
"60","24.895339063","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:14.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=22/5632, ttl=64 (request in 59)"
"61","25.919563017","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:15.000000000 PDT","Echo (ping) request  id=0x0e90, seq=23/5888, ttl=64 (reply in 62)"
"62","25.919604951","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:15.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=23/5888, ttl=64 (request in 61)"
"63","26.943206157","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:17.000000000 PDT","Echo (ping) request  id=0x0e90, seq=24/6144, ttl=64 (reply in 64)"
"64","26.943242991","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:17.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=24/6144, ttl=64 (request in 63)"
"65","27.967192323","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:18.000000000 PDT","Echo (ping) request  id=0x0e90, seq=25/6400, ttl=64 (reply in 66)"
"66","27.967225794","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:18.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=25/6400, ttl=64 (request in 65)"
"67","28.991392715","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:19.000000000 PDT","Echo (ping) request  id=0x0e90, seq=26/6656, ttl=64 (reply in 68)"
"68","28.991425329","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:19.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=26/6656, ttl=64 (request in 67)"
"69","30.015354160","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:20.000000000 PDT","Echo (ping) request  id=0x0e90, seq=27/6912, ttl=64 (reply in 70)"
"70","30.015395722","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:20.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=27/6912, ttl=64 (request in 69)"
"71","31.039322053","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:21.000000000 PDT","Echo (ping) request  id=0x0e90, seq=28/7168, ttl=64 (reply in 72)"
"72","31.039354182","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:21.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=28/7168, ttl=64 (request in 71)"
"73","32.063089979","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:22.000000000 PDT","Echo (ping) request  id=0x0e90, seq=29/7424, ttl=64 (reply in 74)"
"74","32.063129412","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:22.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=29/7424, ttl=64 (request in 73)"
"75","33.087027315","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:23.000000000 PDT","Echo (ping) request  id=0x0e90, seq=30/7680, ttl=64 (reply in 76)"
"76","33.087060548","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:23.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=30/7680, ttl=64 (request in 75)"
"77","34.111465287","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:24.000000000 PDT","Echo (ping) request  id=0x0e90, seq=31/7936, ttl=64 (reply in 78)"
"78","34.111502730","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:24.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=31/7936, ttl=64 (request in 77)"
"79","35.135100495","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:25.000000000 PDT","Echo (ping) request  id=0x0e90, seq=32/8192, ttl=64 (reply in 80)"
"80","35.135139094","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:25.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=32/8192, ttl=64 (request in 79)"
"81","36.159085763","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:26.000000000 PDT","Echo (ping) request  id=0x0e90, seq=33/8448, ttl=64 (reply in 82)"
"82","36.159133394","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:26.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=33/8448, ttl=64 (request in 81)"
"83","37.183449407","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:11:27.000000000 PDT","Echo (ping) request  id=0x0e90, seq=34/8704, ttl=64 (reply in 84)"
"84","37.183533486","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:11:27.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=34/8704, ttl=64 (request in 83)"
