"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.0.1","10.0.0.3","ICMP","42","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 2)"
"2","0.000397914","10.0.0.3","10.0.0.1","ICMP","42","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 1)"
"3","3.115424829","10.0.0.1","10.0.0.4","ICMP","42","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 4)"
"4","3.115814678","10.0.0.4","10.0.0.1","ICMP","42","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 3)"
"5","5.251049775","06:56:1f:9f:a5:a4","4a:db:fe:81:6d:d8","ARP","42","Who has 10.0.0.1? Tell 10.0.0.3"
"6","5.251073297","4a:db:fe:81:6d:d8","06:56:1f:9f:a5:a4","ARP","42","10.0.0.1 is at 4a:db:fe:81:6d:d8"
"7","6.217324703","10.0.0.1","10.0.0.5","ICMP","42","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 8)"
"8","6.217614760","10.0.0.5","10.0.0.1","ICMP","42","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 7)"
"9","9.333168189","10.0.0.1","10.0.0.6","ICMP","42","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 10)"
"10","9.333620100","10.0.0.6","10.0.0.1","ICMP","42","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 9)"
"11","11.408964566","46:78:2c:73:e9:eb","4a:db:fe:81:6d:d8","ARP","42","Who has 10.0.0.1? Tell 10.0.0.5"
"12","11.408980842","4a:db:fe:81:6d:d8","46:78:2c:73:e9:eb","ARP","42","10.0.0.1 is at 4a:db:fe:81:6d:d8"
"13","12.468237180","10.0.0.1","10.0.0.7","ICMP","42","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 14)"
"14","12.468637997","10.0.0.7","10.0.0.1","ICMP","42","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 13)"
"15","14.465821631","62:4a:70:c2:2b:be","4a:db:fe:81:6d:d8","ARP","42","Who has 10.0.0.1? Tell 10.0.0.6"
"16","14.465842171","4a:db:fe:81:6d:d8","62:4a:70:c2:2b:be","ARP","42","10.0.0.1 is at 4a:db:fe:81:6d:d8"
"17","15.556488515","10.0.0.1","10.0.0.8","ICMP","42","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 18)"
"18","15.556921794","10.0.0.8","10.0.0.1","ICMP","42","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 17)"
"19","17.543315206","3e:3e:c1:ba:41:dd","4a:db:fe:81:6d:d8","ARP","42","Who has 10.0.0.1? Tell 10.0.0.7"
"20","17.543333653","4a:db:fe:81:6d:d8","3e:3e:c1:ba:41:dd","ARP","42","10.0.0.1 is at 4a:db:fe:81:6d:d8"
"21","18.630130654","10.0.0.1","10.0.0.9","ICMP","42","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 22)"
"22","18.630459151","10.0.0.9","10.0.0.1","ICMP","42","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 21)"
"23","20.615865614","42:ef:31:82:52:98","4a:db:fe:81:6d:d8","ARP","42","Who has 10.0.0.1? Tell 10.0.0.8"
"24","20.615883179","4a:db:fe:81:6d:d8","42:ef:31:82:52:98","ARP","42","10.0.0.1 is at 4a:db:fe:81:6d:d8"
"25","21.733132124","10.0.0.1","10.0.0.10","ICMP","42","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 26)"
"26","21.733484400","10.0.0.10","10.0.0.1","ICMP","42","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 25)"
"27","34.893606369","4a:db:fe:81:6d:d8","Broadcast","ARP","42","Who has 10.0.0.2? Tell 10.0.0.1"
"28","34.898450082","0a:2e:90:37:5d:68","4a:db:fe:81:6d:d8","ARP","42","10.0.0.2 is at 0a:2e:90:37:5d:68"
"29","34.939340383","10.0.0.1","10.0.0.2","ICMP","42","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 30)"
"30","34.941668251","10.0.0.2","10.0.0.1","ICMP","42","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 29)"
"31","38.104743042","4a:db:fe:81:6d:d8","Broadcast","ARP","42","Who has 10.0.0.3? Tell 10.0.0.1"
"32","38.106257167","06:56:1f:9f:a5:a4","4a:db:fe:81:6d:d8","ARP","42","10.0.0.3 is at 06:56:1f:9f:a5:a4"
"33","38.180487111","10.0.0.1","10.0.0.3","ICMP","42","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 34)"
"34","38.180761589","10.0.0.3","10.0.0.1","ICMP","42","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 33)"
"35","40.073154039","0a:2e:90:37:5d:68","4a:db:fe:81:6d:d8","ARP","42","Who has 10.0.0.1? Tell 10.0.0.2"
"36","40.073170133","4a:db:fe:81:6d:d8","0a:2e:90:37:5d:68","ARP","42","10.0.0.1 is at 4a:db:fe:81:6d:d8"
"37","41.380957497","4a:db:fe:81:6d:d8","Broadcast","ARP","42","Who has 10.0.0.4? Tell 10.0.0.1"
"38","41.382832974","d6:e0:48:d2:02:c5","4a:db:fe:81:6d:d8","ARP","42","10.0.0.4 is at d6:e0:48:d2:02:c5"
"39","41.424444895","10.0.0.1","10.0.0.4","ICMP","42","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 40)"
"40","41.424739008","10.0.0.4","10.0.0.1","ICMP","42","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 39)"
"41","43.407806765","06:56:1f:9f:a5:a4","4a:db:fe:81:6d:d8","ARP","42","Who has 10.0.0.1? Tell 10.0.0.3"
"42","43.407830657","4a:db:fe:81:6d:d8","06:56:1f:9f:a5:a4","ARP","42","10.0.0.1 is at 4a:db:fe:81:6d:d8"
"43","44.540342577","4a:db:fe:81:6d:d8","Broadcast","ARP","42","Who has 10.0.0.5? Tell 10.0.0.1"
"44","44.542419298","46:78:2c:73:e9:eb","4a:db:fe:81:6d:d8","ARP","42","10.0.0.5 is at 46:78:2c:73:e9:eb"
"45","44.568511800","10.0.0.1","10.0.0.5","ICMP","42","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 46)"
"46","44.568830110","10.0.0.5","10.0.0.1","ICMP","42","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 45)"
"47","46.480544900","d6:e0:48:d2:02:c5","4a:db:fe:81:6d:d8","ARP","42","Who has 10.0.0.1? Tell 10.0.0.4"
"48","46.480563009","4a:db:fe:81:6d:d8","d6:e0:48:d2:02:c5","ARP","42","10.0.0.1 is at 4a:db:fe:81:6d:d8"
"49","47.706113336","4a:db:fe:81:6d:d8","Broadcast","ARP","42","Who has 10.0.0.6? Tell 10.0.0.1"
"50","47.708669940","62:4a:70:c2:2b:be","4a:db:fe:81:6d:d8","ARP","42","10.0.0.6 is at 62:4a:70:c2:2b:be"
"51","47.755104630","10.0.0.1","10.0.0.6","ICMP","42","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 52)"
"52","47.755776678","10.0.0.6","10.0.0.1","ICMP","42","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 51)"
"53","49.797197469","46:78:2c:73:e9:eb","4a:db:fe:81:6d:d8","ARP","42","Who has 10.0.0.1? Tell 10.0.0.5"
"54","49.797215515","4a:db:fe:81:6d:d8","46:78:2c:73:e9:eb","ARP","42","10.0.0.1 is at 4a:db:fe:81:6d:d8"
"55","50.897780129","4a:db:fe:81:6d:d8","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.1"
"56","50.900730188","3e:3e:c1:ba:41:dd","4a:db:fe:81:6d:d8","ARP","42","10.0.0.7 is at 3e:3e:c1:ba:41:dd"
"57","50.943611944","10.0.0.1","10.0.0.7","ICMP","42","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 58)"
"58","50.945222977","10.0.0.7","10.0.0.1","ICMP","42","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 57)"
"59","52.880930842","62:4a:70:c2:2b:be","4a:db:fe:81:6d:d8","ARP","42","Who has 10.0.0.1? Tell 10.0.0.6"
"60","52.880950496","4a:db:fe:81:6d:d8","62:4a:70:c2:2b:be","ARP","42","10.0.0.1 is at 4a:db:fe:81:6d:d8"
"61","54.125043169","4a:db:fe:81:6d:d8","Broadcast","ARP","42","Who has 10.0.0.8? Tell 10.0.0.1"
"62","54.126118515","42:ef:31:82:52:98","4a:db:fe:81:6d:d8","ARP","42","10.0.0.8 is at 42:ef:31:82:52:98"
"63","54.217581994","10.0.0.1","10.0.0.8","ICMP","42","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 64)"
"64","54.218151955","10.0.0.8","10.0.0.1","ICMP","42","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 63)"
"65","56.203810043","3e:3e:c1:ba:41:dd","4a:db:fe:81:6d:d8","ARP","42","Who has 10.0.0.1? Tell 10.0.0.7"
"66","56.203830878","4a:db:fe:81:6d:d8","3e:3e:c1:ba:41:dd","ARP","42","10.0.0.1 is at 4a:db:fe:81:6d:d8"
"67","57.400173430","4a:db:fe:81:6d:d8","Broadcast","ARP","42","Who has 10.0.0.9? Tell 10.0.0.1"
"68","57.401555156","0a:dd:56:02:35:7e","4a:db:fe:81:6d:d8","ARP","42","10.0.0.9 is at 0a:dd:56:02:35:7e"
"69","57.446446726","10.0.0.1","10.0.0.9","ICMP","42","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 70)"
"70","57.447037376","10.0.0.9","10.0.0.1","ICMP","42","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 69)"
"71","59.276069453","42:ef:31:82:52:98","4a:db:fe:81:6d:d8","ARP","42","Who has 10.0.0.1? Tell 10.0.0.8"
"72","59.276087226","4a:db:fe:81:6d:d8","42:ef:31:82:52:98","ARP","42","10.0.0.1 is at 4a:db:fe:81:6d:d8"
"73","60.618135835","4a:db:fe:81:6d:d8","Broadcast","ARP","42","Who has 10.0.0.10? Tell 10.0.0.1"
"74","60.620712309","d2:52:36:10:50:8a","4a:db:fe:81:6d:d8","ARP","42","10.0.0.10 is at d2:52:36:10:50:8a"
"75","60.674608515","10.0.0.1","10.0.0.10","ICMP","42","Echo (ping) request  id=0x0000, seq=0/0, ttl=64 (reply in 76)"
"76","60.675137978","10.0.0.10","10.0.0.1","ICMP","42","Echo (ping) reply    id=0x0000, seq=0/0, ttl=64 (request in 75)"
"77","62.601218967","0a:dd:56:02:35:7e","4a:db:fe:81:6d:d8","ARP","42","Who has 10.0.0.1? Tell 10.0.0.9"
"78","62.601240255","4a:db:fe:81:6d:d8","0a:dd:56:02:35:7e","ARP","42","10.0.0.1 is at 4a:db:fe:81:6d:d8"
"79","65.937349601","d2:52:36:10:50:8a","4a:db:fe:81:6d:d8","ARP","42","Who has 10.0.0.1? Tell 10.0.0.10"
"80","65.937365948","4a:db:fe:81:6d:d8","d2:52:36:10:50:8a","ARP","42","10.0.0.1 is at 4a:db:fe:81:6d:d8"
