"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x0e04, seq=8/2048, ttl=64 (reply in 2)"
"2","0.000045274","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0e04, seq=8/2048, ttl=64 (request in 1)"
"3","1.023948135","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x0e04, seq=9/2304, ttl=64 (reply in 4)"
"4","1.023986525","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0e04, seq=9/2304, ttl=64 (request in 3)"
"5","2.048315239","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x0e04, seq=10/2560, ttl=64 (reply in 6)"
"6","2.048366588","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0e04, seq=10/2560, ttl=64 (request in 5)"
"7","3.072044724","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x0e04, seq=11/2816, ttl=64 (reply in 8)"
"8","3.072082021","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0e04, seq=11/2816, ttl=64 (request in 7)"
"9","4.095991555","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x0e04, seq=12/3072, ttl=64 (reply in 10)"
"10","4.096034669","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0e04, seq=12/3072, ttl=64 (request in 9)"
"11","5.119979517","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x0e04, seq=13/3328, ttl=64 (reply in 12)"
"12","5.120012964","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0e04, seq=13/3328, ttl=64 (request in 11)"
"13","6.144020201","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x0e04, seq=14/3584, ttl=64 (reply in 14)"
"14","6.144056371","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0e04, seq=14/3584, ttl=64 (request in 13)"
"15","7.168557536","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x0e04, seq=15/3840, ttl=64 (reply in 16)"
"16","7.168674543","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0e04, seq=15/3840, ttl=64 (request in 15)"
"17","8.192029253","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x0e04, seq=16/4096, ttl=64 (reply in 18)"
"18","8.192066435","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0e04, seq=16/4096, ttl=64 (request in 17)"
"19","9.216356623","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x0e04, seq=17/4352, ttl=64 (reply in 20)"
"20","9.216396040","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0e04, seq=17/4352, ttl=64 (request in 19)"
"21","10.240088269","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x0e04, seq=18/4608, ttl=64 (reply in 22)"
