"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=88/22528, ttl=64 (reply in 2)"
"2","0.000040516","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=88/22528, ttl=64 (request in 1)"
"3","0.480651028","fe80::b462:dbff:fe1f:4f1a","ff02::2","ICMPv6","70","Router Solicitation from b6:62:db:1f:4f:1a"
"4","1.024118756","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=89/22784, ttl=64 (reply in 5)"
"5","1.024153900","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=89/22784, ttl=64 (request in 4)"
"6","2.047833965","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=90/23040, ttl=64 (reply in 7)"
"7","2.047863947","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=90/23040, ttl=64 (request in 6)"
"8","3.072177124","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=91/23296, ttl=64 (reply in 9)"
"9","3.072212379","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=91/23296, ttl=64 (request in 8)"
"10","4.096140922","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=92/23552, ttl=64 (reply in 11)"
"11","4.096230681","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=92/23552, ttl=64 (request in 10)"
"12","4.576918942","fe80::643b:5dff:fe77:8e6a","ff02::2","ICMPv6","70","Router Solicitation from 66:3b:5d:77:8e:6a"
"13","5.119965935","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=93/23808, ttl=64 (reply in 14)"
"14","5.120008643","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=93/23808, ttl=64 (request in 13)"
"15","6.143905537","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=94/24064, ttl=64 (reply in 16)"
"16","6.143947012","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=94/24064, ttl=64 (request in 15)"
"17","7.167777217","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=95/24320, ttl=64 (reply in 18)"
"18","7.167823703","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=95/24320, ttl=64 (request in 17)"
"19","8.192186340","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=96/24576, ttl=64 (reply in 20)"
"20","8.192226583","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=96/24576, ttl=64 (request in 19)"
"21","9.216241491","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=97/24832, ttl=64 (reply in 22)"
"22","9.216281702","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=97/24832, ttl=64 (request in 21)"
"23","10.207858428","c6:e5:2b:e0:25:d9","9a:4a:25:5a:5e:8b","ARP","42","Who has 10.0.0.1? Tell 10.0.0.2"
"24","10.207874702","9a:4a:25:5a:5e:8b","c6:e5:2b:e0:25:d9","ARP","42","10.0.0.1 is at 9a:4a:25:5a:5e:8b"
"25","10.240087516","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=98/25088, ttl=64 (reply in 26)"
"26","10.240123167","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=98/25088, ttl=64 (request in 25)"
"27","11.263846018","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=99/25344, ttl=64 (reply in 28)"
"28","11.263883194","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=99/25344, ttl=64 (request in 27)"
"29","12.287923019","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=100/25600, ttl=64 (reply in 30)"
"30","12.287958698","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=100/25600, ttl=64 (request in 29)"
"31","12.768416539","fe80::8bd:c5ff:feb6:5f42","ff02::2","ICMPv6","70","Router Solicitation from 0a:bd:c5:b6:5f:42"
"32","13.311868870","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=101/25856, ttl=64 (reply in 33)"
"33","13.311905591","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=101/25856, ttl=64 (request in 32)"
"34","14.335874814","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=102/26112, ttl=64 (reply in 35)"
"35","14.335911609","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=102/26112, ttl=64 (request in 34)"
"36","14.816530973","fe80::403c:5fff:fe23:6a02","ff02::2","ICMPv6","70","Router Solicitation from 42:3c:5f:23:6a:02"
"37","15.359802266","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=103/26368, ttl=64 (reply in 38)"
"38","15.359841781","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=103/26368, ttl=64 (request in 37)"
"39","16.384230527","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=104/26624, ttl=64 (reply in 40)"
"40","16.384267430","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=104/26624, ttl=64 (request in 39)"
"41","17.407971325","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=105/26880, ttl=64 (reply in 42)"
"42","17.408007849","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=105/26880, ttl=64 (request in 41)"
"43","18.432119971","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=106/27136, ttl=64 (reply in 44)"
"44","18.432156411","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=106/27136, ttl=64 (request in 43)"
"45","19.455904668","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=107/27392, ttl=64 (reply in 46)"
"46","19.455957256","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=107/27392, ttl=64 (request in 45)"
"47","20.480098940","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=108/27648, ttl=64 (reply in 48)"
"48","20.480134845","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=108/27648, ttl=64 (request in 47)"
"49","21.503852788","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=109/27904, ttl=64 (reply in 50)"
"50","21.503893091","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=109/27904, ttl=64 (request in 49)"
"51","22.528223675","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=110/28160, ttl=64 (reply in 52)"
"52","22.528259987","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=110/28160, ttl=64 (request in 51)"
"53","23.551870697","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=111/28416, ttl=64 (reply in 54)"
"54","23.551909187","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=111/28416, ttl=64 (request in 53)"
"55","24.576158339","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x1251, seq=112/28672, ttl=64 (reply in 56)"
"56","24.576193660","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x1251, seq=112/28672, ttl=64 (request in 55)"
